collapse,years,DAPever,DAPimp,LME,genus,species
0,2003,1,1,38,582,1007
1,2003,1,1,38,193,305
0,2003,1,1,38,541,933
0,2003,1,1,38,555,951
1,2003,1,1,38,625,1074
0,2003,1,1,38,687,1178
0,2003,1,1,31,72,109
0,2003,1,1,31,311,508
0,2003,1,1,31,359,599
0,2003,1,1,57,81,122
0,2003,1,1,57,497,856
0,2003,1,1,24,646,1101
0,2003,1,1,38,255,413
0,2003,1,1,38,352,586
0,2003,1,1,38,198,316
0,2003,1,1,38,255,416
0,2003,1,1,38,291,466
0,2003,1,1,38,361,601
0,2003,1,1,38,583,1013
0,2003,1,1,24,196,313
0,2003,1,1,24,210,344
0,2003,1,1,24,354,592
0,2003,1,1,24,407,684
0,2003,1,1,24,445,759
1,2003,1,1,24,572,988
1,2003,1,1,24,572,989
1,2003,1,1,24,572,995
0,2003,1,1,24,573,997
1,2003,1,1,29,476,825
1,2003,1,1,38,415,698
0,2003,1,1,59,492,849
0,2003,1,1,11,344,569
0,2003,1,1,24,628,1077
0,2003,1,1,51,507,868
0,2003,1,1,57,267,439
0,2003,1,1,29,174,281
0,2003,1,1,57,267,435
0,2003,1,1,29,109,168
0,2003,1,1,38,449,766
0,2003,1,1,57,99,155
0,2003,1,1,57,220,358
0,2003,1,1,57,254,412
0,2003,1,1,57,256,417
0,2003,1,1,57,322,531
0,2003,1,1,57,385,651
0,2003,1,1,57,469,815
0,2003,1,1,57,502,863
1,2003,1,1,57,523,898
0,2003,1,1,57,566,978
0,2003,1,1,57,583,1012
0,2003,1,1,57,583,1015
0,2003,1,1,57,592,1025
0,2003,1,1,57,683,1173
0,2003,1,1,57,684,1174
0,2003,1,1,24,249,406
0,2003,1,1,31,210,345
1,2003,1,1,51,210,345
1,2003,1,1,51,336,548
0,2003,1,1,51,483,835
1,2003,1,1,51,572,986
0,2003,1,1,24,19,36
1,2003,1,1,31,128,195
0,2003,1,1,31,228,372
0,2003,1,1,31,248,404
0,2003,1,1,31,299,482
0,2003,1,1,31,343,558
0,2003,1,1,31,352,587
0,2003,1,1,31,354,591
0,2003,1,1,38,267,435
0,2003,1,1,38,267,439
1,2003,1,1,58,608,1053
0,2003,1,1,24,428,730
0,2003,1,1,31,427,725
0,2003,1,1,38,237,383
0,2003,1,1,38,397,666
0,2003,1,1,38,661,1132
0,2003,1,1,38,661,1130
0,2003,1,1,38,60,93
0,2003,1,1,38,81,122
0,2003,1,1,38,121,183
0,2003,1,1,38,133,203
0,2003,1,1,38,216,352
0,2003,1,1,38,220,358
0,2003,1,1,38,254,412
0,2003,1,1,38,256,417
0,2003,1,1,38,269,441
0,2003,1,1,38,282,456
0,2003,1,1,38,322,531
0,2003,1,1,38,344,561
0,2003,1,1,38,365,608
0,2003,1,1,38,373,624
0,2003,1,1,38,385,651
0,2003,1,1,38,410,688
0,2003,1,1,38,440,754
0,2003,1,1,38,487,840
0,2003,1,1,38,502,863
0,2003,1,1,38,506,867
0,2003,1,1,38,523,898
1,2003,1,1,38,530,908
0,2003,1,1,38,583,1012
0,2003,1,1,38,583,1015
0,2003,1,1,38,648,1111
0,2003,1,1,38,684,1174
1,2003,1,1,63,237,383
0,2003,1,1,31,16,31
0,2003,1,1,31,336,548
0,2003,1,1,31,389,657
0,2003,1,1,31,477,827
